,price,volume
200000,200000,0
200025,200025,0
200050,200050,0
200075,200075,0
200100,200100,0
200125,200125,0
200150,200150,0
200175,200175,0
200200,200200,0
200225,200225,0
200250,200250,0
200275,200275,0
200300,200300,0
200325,200325,0
200350,200350,0
200375,200375,0
200400,200400,0
200425,200425,0
200450,200450,0
200475,200475,0
200500,200500,0
200525,200525,0
200550,200550,0
200575,200575,0
200600,200600,0
200625,200625,0
200650,200650,0
200675,200675,0
200700,200700,0
200725,200725,0
200750,200750,0
200775,200775,0
200800,200800,0
200825,200825,0
200850,200850,0
200875,200875,0
200900,200900,0
200925,200925,0
200950,200950,0
200975,200975,0
201000,201000,0
201025,201025,0
201050,201050,0
201075,201075,0
201100,201100,0
201125,201125,0
201150,201150,0
201175,201175,0
201200,201200,0
201225,201225,0
201250,201250,0
201275,201275,0
201300,201300,0
201325,201325,0
201350,201350,0
201375,201375,0
201400,201400,0
201425,201425,0
201450,201450,0
201475,201475,0
201500,201500,0
201525,201525,0
201550,201550,0
201575,201575,0
201600,201600,0
201625,201625,0
201650,201650,0
201675,201675,0
201700,201700,0
201725,201725,0
201750,201750,0
201775,201775,0
201800,201800,0
201825,201825,0
201850,201850,0
201875,201875,0
201900,201900,0
201925,201925,0
201950,201950,0
201975,201975,0
202000,202000,0
202025,202025,0
202050,202050,0
202075,202075,0
202100,202100,0
202125,202125,0
202150,202150,0
202175,202175,0
202200,202200,0
202225,202225,0
202250,202250,0
202275,202275,0
202300,202300,0
202325,202325,0
202350,202350,0
202375,202375,0
202400,202400,0
202425,202425,0
202450,202450,0
202475,202475,0
202500,202500,0
202525,202525,0
202550,202550,0
202575,202575,0
202600,202600,0
202625,202625,0
202650,202650,0
202675,202675,0
202700,202700,0
202725,202725,0
202750,202750,0
202775,202775,0
202800,202800,0
202825,202825,0
202850,202850,0
202875,202875,0
202900,202900,0
202925,202925,0
202950,202950,0
202975,202975,0
203000,203000,0
203025,203025,0
203050,203050,0
203075,203075,0
203100,203100,0
203125,203125,0
203150,203150,0
203175,203175,0
203200,203200,0
203225,203225,0
203250,203250,0
203275,203275,0
203300,203300,0
203325,203325,0
203350,203350,0
